Sr,latency
472,0.002644713
473,0.002648652
474,0.002643333
475,0.002647434
476,0.002646073
477,0.002645320
478,0.002648095
479,0.002646004
480,0.002645452
481,0.002648491
482,0.002650802
483,0.002646082
484,0.002650214
485,0.002648192
486,0.002647521
487,0.002649437
488,0.002648192
489,0.002648370
490,0.002650401
491,0.002644003
492,0.002647382
493,0.002646492
494,0.002647453
495,0.002648134
496,0.002646661
497,0.002646675
498,0.002649573
499,0.002646247
500,0.002645081
501,0.002648157
502,0.002648435
503,0.002645259
504,0.002648308
505,0.002646467
506,0.002646257
507,0.002650589
508,0.002643525
509,0.002648346
510,0.002652954
511,0.002645245
512,0.002648202
513,0.002646254
514,0.002645592
515,0.002648327
516,0.002645972
517,0.002650748
518,0.002648375
519,0.002652201
520,0.002646125
521,0.002649137
522,0.002646814
523,0.002648703
524,0.002648990
525,0.002647498
526,0.002646264
527,0.002648927
528,0.002644196
529,0.002649288
530,0.002649319
531,0.002646191
532,0.002652309
533,0.002646090
534,0.002646532
535,0.002648269
536,0.002645874
537,0.002646575
538,0.002647693
539,0.002646142
540,0.002645647
541,0.002647370
542,0.002646593
543,0.002644872
544,0.002650978
545,0.002643441
546,0.002647466
547,0.002646067
548,0.002645101
549,0.002647389
550,0.002645975
551,0.002647312
552,0.002647476
553,0.002646043
554,0.002645305
555,0.002647303
556,0.002649252
557,0.002644818
558,0.002647479
559,0.002645974
560,0.002644694
561,0.002647742
562,0.002643357
563,0.002648749
564,0.002646269
565,0.002646980
566,0.002647456
567,0.002646168
568,0.002645539
569,0.002650873
570,0.002645902
571,0.002644898
572,0.002649602
573,0.002646765
574,0.002646193
575,0.002647360
576,0.002647499
577,0.002644890
578,0.002648468
579,0.002643317
580,0.002647586
581,0.002645919
582,0.002645434
583,0.002651068
584,0.002646646
585,0.002647718
586,0.002648090
587,0.002646795
588,0.002645734
589,0.002648112
590,0.002646022
591,0.002645094
592,0.002649329
593,0.002646628
594,0.002644976
595,0.002647462
596,0.002643667
597,0.002647586
598,0.002647595
599,0.002644750
600,0.002649947
601,0.002646136
602,0.002648272
603,0.002647729
604,0.002645841
605,0.002646566
606,0.002650010
607,0.002646102
608,0.002646815
609,0.002647797
610,0.002646075
611,0.002646571
612,0.002647516
613,0.002645149
614,0.002650694
615,0.002646906
616,0.002645658
617,0.002647798
618,0.002646005
619,0.002644894
620,0.002647607
621,0.002646449
622,0.002645960
623,0.002647507
624,0.002646643
625,0.002646572
626,0.002649201
627,0.002651466
628,0.002644922
629,0.002647736
630,0.002643570
631,0.002648320
632,0.002646032
633,0.002645158
634,0.002648113
635,0.002646151
636,0.002647200
637,0.002649646
638,0.002646714
639,0.002645129
640,0.002651476
641,0.002648372
642,0.002644985
643,0.002647777
644,0.002646236
645,0.002644925
646,0.002649256
647,0.002643394
648,0.002651258
649,0.002646054
650,0.002646409
651,0.002647689
652,0.002646068
653,0.002645591
654,0.002647716
655,0.002650423
656,0.002644956
657,0.002647576
658,0.002645897
659,0.002645124
660,0.002648348
661,0.002646164
662,0.002645369
663,0.002648071
664,0.002643468
665,0.002648238
666,0.002646026
667,0.002648189
668,0.002651602
669,0.002646779
670,0.002645095
671,0.002647805
672,0.002646040
673,0.002644780
674,0.002648154
675,0.002645980
676,0.002645586
677,0.002647595
678,0.002645890
679,0.002645362
680,0.002650666
681,0.002643442
682,0.002647558
683,0.002645805
684,0.002645864
685,0.002648968
686,0.002646138
687,0.002646086
688,0.002648857
689,0.002648193
690,0.002644939
691,0.003079135
692,0.002651286
693,0.002646176
694,0.002645003
695,0.002647630
696,0.002646114
697,0.002645362
698,0.002648038
699,0.002646484
700,0.002645057
701,0.002647579
702,0.002645955
703,0.002646712
704,0.002647892
705,0.002646373
706,0.002647627
707,0.002646057
708,0.002646389
709,0.002647612
710,0.002648387
711,0.002646058
712,0.002647607
713,0.002646102
714,0.002644941
715,0.002647502
716,0.002646169
717,0.002648817
718,0.002647512
719,0.002646105
720,0.002645789
721,0.002646040
722,0.002644698
723,0.002647407
724,0.002646332
725,0.002644891
726,0.002647617
727,0.002647173
728,0.002644887
729,0.002650490
